id	tweet
3131	Jeg tror det vil være dejlig køligt, men jeg vil have det meget meget svært, såfremt personen i billedet skulle lægge softicen der.	NOT	I think it will be nice cool, but I want it very very difficult if the person in the picture was put softicen there.
711	Så kommer de nok til at investere i en ny cykelpumpe, så landbetjenten kan rykke ud på sin cykel	NOT	Then they turn enough to invest in a new bicycle pump, so the sheriff can move out on his bike
2500	Nu er det jo også de Ikea-aber der har lavet spillet.. Det i sig selv gør det uspilleligt.	OFF	Now it is also the Ikea monkeys that have made the game .. That in itself makes it unplayable.
2678	128 Varme emails, er vi enige om at det er sextilbud?  63 indgående opkald lyder som et mareridt.	NOT	128 Heating emails, we agree that it is sextilbud? 63 incoming call sounds like a nightmare.
784	Desværre tyder det på, at amerikanerne er helt ude af kontrol når de kan stemme på en så farlig mand	NOT	Unfortunately, it appears that Americans are totally out of control when they vote on such a dangerous man
3191	Det er fordi de danske børn i folkeskolerne af en eller anden grund både bliver dårligere til at stave, og så vel også engelsk i det sammenhæng. Trist.	NOT	That's because the Danish children in schools for some reason both are worse at spelling, and as well also English in context. Sad.
2496	Egon Olsen var en hædersmand, fordi han udelukkende beskæftigede sig med ulovlig kriminalitet.	NOT	Egon Olsen was a man of honor because he dealt exclusively with illegal crime.
1161	Klog?? Ha ha for mig at se har hun taget den nemme løsning, klog ville være at tjene dine penge på andre måder. men det finder hun vel ud af, når hun engang ikke kan sprede ben for penge mere. idioti	OFF	Wise?? Ha ha to me that she has taken the easy option, clever would be to earn your money in other ways. but she finds well out when she can not even spread the legs of money more. idiocy
324	@USER så kan hun bare lave maden ordentligt næste gang	NOT	@USER so she can just make food properly next time
1706	Gode gamle Danmark,,,,,, i salute you! :)	NOT	Good old Denmark ,,,,,, in salute you! :)
1655	Denne krig kan kun ende på én måde:  ##DET STÅKHÅLMSKE BLODBAD 2013!	NOT	This war can only end in one way: ## THE STÅKHÅLMSKE bloodbath in 2013!
2455	hvornår er billedet malet og hvad tid skal billedet forstille?	NOT	when the picture is painted and what time the image must dissemble?
2538	Den er ikke engang slut endnu. Lad os nu lige se situationen an, ikke?	NOT	It is not even over yet. Now let's see the situation himself, right?
1713	Haha, det er genialt!	NOT	Haha, it's brilliant!
258	Han er sku da den eneste som gør noget for veteranerne i USA! Skriv lige lidt om det også, så jeres brugere ikke forledes til at tro at Trump ikke anerkender soldaters ofre!	NOT	He is sku as the only one who does something for the veterans in the United States! Write just a little about it too, so your users will not be led to believe that Trump does not recognize the soldiers' sacrifice!
